sports_category_descr,predicted_interaction,acid
RUNNING,0.9999999687644883,039GQFVK56AK6XBI
OLYMPIC SPORTS,0.00017663153211532035,039GQFVK56AK6XBI
HIKING,5.711352629832396e-09,039GQFVK56AK6XBI
BASKETBALL,2.373699306008664e-09,039GQFVK56AK6XBI
SWIM,1.0401679041198385e-09,039GQFVK56AK6XBI
OUTDOOR,0.9999999997046168,090V8NFB34W6Z204
YOGA,2.877521294924187e-07,090V8NFB34W6Z204
TRACK AND FIELD,1.7560167078469795e-07,090V8NFB34W6Z204
HIKING,2.4700080095008994e-08,090V8NFB34W6Z204
TRAINING,3.08089909819533e-09,090V8NFB34W6Z204
BASKETBALL,0.9999983425314903,0G8IITRDWX4STZD9
TRACK AND FIELD,0.0012874065942253354,0G8IITRDWX4STZD9
ORIGINALS,6.279302918842444e-09,0G8IITRDWX4STZD9
GOLF,3.9564802612069706e-09,0G8IITRDWX4STZD9
NOT SPORTS SPECIFIC,3.301686901615685e-09,0G8IITRDWX4STZD9
ORIGINALS,0.9999999963125484,0GH9QR6OBZ1UXEK6
HANDBALL,6.040606899536069e-05,0GH9QR6OBZ1UXEK6
BASKETBALL,6.279302918842444e-09,0GH9QR6OBZ1UXEK6
HIKING,5.698249110312082e-09,0GH9QR6OBZ1UXEK6
SWIM,1.3430390534149637e-09,0GH9QR6OBZ1UXEK6
RUNNING,0.9999999687644883,0GJAPJPXGHVXMNIC
OLYMPIC SPORTS,0.00017663153211532035,0GJAPJPXGHVXMNIC
HIKING,5.711352629832396e-09,0GJAPJPXGHVXMNIC
BASKETBALL,2.373699306008664e-09,0GJAPJPXGHVXMNIC
SWIM,1.0401679041198385e-09,0GJAPJPXGHVXMNIC
ORIGINALS,0.9999999963125484,0L9R3KWM7JD72BSY
HANDBALL,6.040606899536069e-05,0L9R3KWM7JD72BSY
BASKETBALL,6.279302918842444e-09,0L9R3KWM7JD72BSY
HIKING,5.698249110312082e-09,0L9R3KWM7JD72BSY
SWIM,1.3430390534149637e-09,0L9R3KWM7JD72BSY
ORIGINALS,0.9999999963125484,0MD9OJPJDH6UEP72
HANDBALL,6.040606899536069e-05,0MD9OJPJDH6UEP72
BASKETBALL,6.279302918842444e-09,0MD9OJPJDH6UEP72
HIKING,5.698249110312082e-09,0MD9OJPJDH6UEP72
SWIM,1.3430390534149637e-09,0MD9OJPJDH6UEP72
ORIGINALS,0.9999999963125484,0MV1GRTVL57KPK0C
HANDBALL,6.040606899536069e-05,0MV1GRTVL57KPK0C
BASKETBALL,6.279302918842444e-09,0MV1GRTVL57KPK0C
HIKING,5.698249110312082e-09,0MV1GRTVL57KPK0C
SWIM,1.3430390534149637e-09,0MV1GRTVL57KPK0C
ORIGINALS,0.9999999963125484,0OKVYEVFB55H0SC1
HANDBALL,6.040606899536069e-05,0OKVYEVFB55H0SC1
BASKETBALL,6.279302918842444e-09,0OKVYEVFB55H0SC1
HIKING,5.698249110312082e-09,0OKVYEVFB55H0SC1
SWIM,1.3430390534149637e-09,0OKVYEVFB55H0SC1
NOT SPORTS SPECIFIC,0.9999999768196282,0Q1S8S9DATAYER76
HANDBALL,0.000152069803464048,0Q1S8S9DATAYER76
HIKING,7.84522259971687e-09,0Q1S8S9DATAYER76
SWIM,3.955567839143767e-09,0Q1S8S9DATAYER76
BASKETBALL,3.301686901615685e-09,0Q1S8S9DATAYER76
FOOTBALL/SOCCER,0.9999999669522595,0RU7BFU1XYZRJCP7
HANDBALL,0.00018173536718360926,0RU7BFU1XYZRJCP7
HIKING,6.433882471626821e-09,0RU7BFU1XYZRJCP7
